court_name,count
Accomack County Circuit Court,23
Adams Circuit Court,2
Adams County Court of Common Pleas,481
Adams County Court of Oyer and Terminer,2
Adams County Court of Quarter Sessions,28
Adams County Orphans' Court,14
Air Force Court of Criminal Appeals,2469
Akron Municipal Court,80
Alabama Court of Appeals,23569
Alachua County Circuit Court,6
Alachua County Court,1
Alaska Supreme Court,7690
Albany City Court,94
Albany City Police Court,3
Albany County Court,6
Albany Court of Special Sessions,2
Albany Family Court,5
Albany Surrogate's Court,1
Albemarle County Circuit Court,90
Alexandria County Circuit Court,338
Allegany County Court,1
Alleghany County Circuit Court,40
Alleghany County Court of Common Pleas,1647
Allegheny County Court of Oyer and Terminer,8
Allegheny County Court of Quarter Sessions,42
Allegheny County Orphans' Court,136
Allen Circuit Court,36
Allen County Court of Common Pleas,36
Allen County Juvenile Court,1
Allen County Probate Court,4
Amelia County Circuit Court,1
American Samoa District Court,5
Amherst County Circuit Court,107
Amherst Town Court,11
Amsterdam City Court,2
Amsterdam Police Court,1
Appellate Court of Illinois,178045
Appellate Division of the Superior Court of California,1072
Appellate Division of the Supreme Court of New York,764262
Appellate Terms of the Supreme Court of New York,23306
Arapahoe County District Court,19
Arcadia Justice Court,7
Ardsley Justice Court,3
Arizona Supreme Court,14026
Arizona Tax Court,64
Arkansas Attorney General Reports,8456
Arlington County Circuit Court,228
Armed Services Board of Contract Appeals,3537
Armstrong County Court of Common Pleas,103
Armstrong County Court of Quarter Sessions,4
Armstrong County Orphans' Court,3
Army Court of Criminal Appeals,2168
Ashland Circuit Court,9
Ashland County Court of Common Pleas,18
Ashland Municipal Court,2
Ashtabula Circuit Court,39
Ashtabula County Court of Common Pleas,35
"Ashtabula County Courts, Ohio",9
Ashtabula County Probate Court,5
Ashtabula Municipal Court,10
Athens Circuit Court,1
Athens County Court of Common Pleas,15
Athens County Municipal Court,8
"Atlantic County Circuit Court, N.J.",28
Atlantic County Superior Court,6
Atlantic County Surrogate's Court,3
Attorneys General,1370
Auburn City Court,16
Auglaize County Circuit Court,7
Auglaize County Court of Common Pleas,10
Auglaize County Municipal Court,1
Auglaize County Probate Court,2
Augusta County Circuit Court,57
Aurora Justice Court,1
Avon Lake Municipal Court,3
"Baker County Circuit Court, Oregon",4
Baltimore City Circuit Court,725
Baltimore City Court,252
Baltimore City Orphans' Court,63
Baltimore City Superior Court,163
Barberton Municipal Court,2
Batavia City Court,6
Bath County Circuit Court,18
Bay County Circuit Court,18
Bay County Court,11
Beaver County Court of Common Pleas,457
Beaver County Court of Oyer and Terminer,4
Beaver County Court of Quarter Sessions,46
Beaver County Orphans' Court,15
Bedford County Circuit Court,40
Bedford County Court of Common Pleas,52
Bedford County Court of Quarter Sessions,9
Bedford County Orphans' Court,7
Bedford Municipal Court,3
Bellefontaine Municipal Court,4
Belmont Circuit Court,11
Belmont County Court of Common Pleas,31
"Belmont County Courts, Ohio",9
Belmont County Probate Court,5
Bent County District Court,1
"Benton County Circuit Court, Oregon",3
Berea Municipal Court,1
"Bergen County Circuit Court, N.J.",16
Bergen County Family Court,10
Bergen County Superior Court,24
Bergen County Surrogate's Court,7
Berks County Court of Common Pleas,851
Berks County Court of Oyer and Terminer,1
Berks County Court of Quarter Sessions,81
Berks County Orphans' Court,101
Binghamton City Court,23
Blair County Court of Common Pleas,190
Blair County Court of Quarter Sessions,8
Blair County Orphans' Court,8
Blasdell Justice Court,1
Board of Commissioners On The Unauthorized Practice of Law State of Ohio,8
Board of Immigration Appeals,3125
Board of Tax Appeals,16656
Board of Tax Appeals of Ohio Department of Taxation,1
Board of Veterans' Appeals,5709
Borough of Princeton Municipal Court,1
Boss County Court of Common Pleas,1
Boston Municipal Court,102
Botetourt County Circuit Court,32
Bowling Green County Municipal Court,9
Bradford County Circuit Court,2
Bradford County Court of Common Pleas,78
Bradford County Court of Quarter Sessions,14
Bradford County Orphans' Court,3
Brevard County Circuit Court,14
Brevard County Court,9
Brevard County Court of Record,2
Briarcliff Manor Justice Court,1
Brighton Justice Court,16
"Bristol Corporation Court, Va.",1
Bristol County Circuit Court,9
Bronx County Court,7
Bronx Criminal Court,94
Bronx Family Court,14
Bronx Surrogate's Court,10
Bronxville Justice Court,1
Brookline District Court,2
Broome County Court,7
Broome Surrogate's Court,1
Broward County Circuit Court,103
Broward County Court,52
Broward County Court of Record,1
Broward County Judge's Court,1
Broward County Small Claims Court,2
Brown Circuit Court,5
Brown County Court of Common Pleas,7
"Brown County Courts, Ohio",3
Brunswick County Circuit Court,13
Buchanan County Circuit Court,19
Buckingham County Circuit Court,4
Bucks County Court of Common Pleas,1153
Bucks County Court of Oyer and Terminer,4
Bucks County Court of Quarter Sessions,53
Bucks County Orphans' Court,34
Buffalo City Court,80
"Burke County Superior Court, Ga.",4
"Burlington County Circuit Court, N.J.",3
Burlington County Superior Court,2
Butler Circuit Court,69
Butler County Court of Common Pleas,203
Butler County Court of Quarter Sessions,9
"Butler County Courts, Ohio",2
Butler County Orphans' Court,7
Butler County Probate Court,7
Byram Township Municipal Court,1
Cal. District Court,148
Calhoun County Circuit Court,1
California Attorney General Reports,1258
California Court of Appeal,164976
"California Court of Appeals, 1st District",9
"California Court of Appeals, 2nd District",19
"California Court of Appeals, 3rd District",8
"California Court of Appeals, 4th District",29
"California Court of Appeals, 5th District",1943
"California Court of Appeals, 6th District",6
California Superior Court,110
"California Superior Court, San Francisco County",375
California Supreme Court,44595
Cambria County Court of Common Pleas,266
Cambria County Court of Oyer and Terminer,1
Cambria County Court of Quarter Sessions,49
Cambria County of Juvenile Court,1
Cambria County Orphans' Court,10
Cambria Town Court,2
"Camden County Circuit Court, N.J.",18
Camden County Family Court,5
Camden County Superior Court,14
Camden County Surrogate's Court,2
Cameron County Court of Common Pleas,29
Cameron County Court of Quarter Sessions,4
Cameron County Orphans' Court,1
Camillus Justice Court,1
Campbell County Circuit Court,42
Canaan Justice Court,2
Canandaigua City Court,9
Canton Justice Court,2
Canton Municipal Court,12
"Cape May County Circuit Court, N.J.",5
Cape May County Family Court,1
Cape May County Superior Court,3
Cape May County Surrogate's Court,1
Carbon County Court of Common Pleas,248
Carbon County Court of Oyer and Terminer,1
Carbon County Court of Quarter Sessions,16
Carbon County Orphans' Court,3
Carmel Justice Court,1
Caroline County Circuit Court,30
Carroll Circuit Court,1
Carroll County Circuit Court,4
Carroll County Court of Common Pleas,4
"Carroll County Superior Court, Ga.",1
Cattaraugus County Court,7
Cayuga County Court,6
Cayuga Heights Justice Court,3
C.D. California,2800462
C.D. Illinois,253390
Celina Municipal Court,1
Centre County Court of Common Pleas,308
Centre County Court of Quarter Sessions,49
Centre County Orphans' Court,14
Champaign Circuit Court,6
Champaign County Court of Common Pleas,6
Champaign County Probate Court,1
Chardon Municipal Court,1
Charles City County Circuit Court,1
Charlotte County Circuit Court,2
Charlotte County Judge's Court,1
Charlottesville County Circuit Court,231
Chatam Justice Court,1
"Chatham Superior Court, Ga.",189
Chautauqua County Court,5
Cheektowaga Justice Court,2
Chemung County Court,3
Chemung Family Court,6
Chenango County Court,8
Chenango Justice Court,1
Cherokee Indian Trib. Ct.,6
Cherokee Nation Judicial Appeals Tribunal,78
Cherokee Nation Supreme Court,45
Chesapeake County Circuit Court,119
Chester County Court of Common Pleas,621
Chester County Court of Oyer and Terminer,3
Chester County Court of Quarter Sessions,30
Chester County Orphans' Court,66
Chesterfield County Circuit Court,205
Cheyenne River Sioux Tribal Court of Appeals,22
Chili Justice Court,2
Chillicothe Municipal Court,1
Cincinnati Municipal Court,34
Cincinnati Police Court,1
Circleville Municipal Court,1
Circuit Court of Delaware,92
Circuit Court of North Carolina,307
Circuit Court of Tennessee,71
Circuit Court of the 10th Circuit of Michigan,34
Circuit Court of the 12th Circuit of Michigan,1
Circuit Court of the 13th Circuit of Michigan,1
Circuit Court of the 14th Circuit of Michigan,1
Circuit Court of the 15th Circuit of Michigan,13
Circuit Court of the 16th Circuit of Michigan,4
Circuit Court of the 17th Circuit of Michigan,3
Circuit Court of the 19th Circuit of Michigan,8
Circuit Court of the 1st Circuit of Michigan,2
Circuit Court of the 22nd Circuit of Michigan,9
Circuit Court of the 23rd Circuit of Michigan,2
Circuit Court of the 26th Circuit of Michigan,8
Circuit Court of the 27th Circuit of Michigan,1
Circuit Court of the 2nd Circuit of Michigan,9
Circuit Court of the 30th Circuit of Michigan,2
Circuit Court of the 31st Circuit of Michigan,8
Circuit Court of the 35th Circuit of Michigan,1
Circuit Court of the 36th Circuit of Michigan,13
Circuit Court of the 39th Circuit of Michigan,3
Circuit Court of the 3rd Circuit of Michigan,22
Circuit Court of the 40th Circuit of Michigan,1
Circuit Court of the 43rd Circuit of Michigan,6
Circuit Court of the 45th Circuit of Michigan,7
Circuit Court of the 47th Circuit of Michigan,2
Circuit Court of the 48th Circuit of Michigan,14
Circuit Court of the 49th Circuit of Michigan,1
Circuit Court of the 4th Circuit of Michigan,5
Circuit Court of the 51st Circuit of Michigan,2
Circuit Court of the 54th Circuit of Michigan,1
Circuit Court of the 6th Circuit of Michigan,7
Circuit Court of the 7th Circuit of Michigan,1
Circuit Court of the 8th Circuit of Michigan,1
Circuit Court of the 9th Circuit of Michigan,29
Citrus County Circuit Court,3
City Court Of Little Falls,5
City Court of Westchester,1
City of Cleveland Municipal Court,115
City of Columbus Municipal Court,14
City of Dayton Municipal Court,57
City of New York Municipal Court,6353
Civil Court of the City of New York,3502
"Clackamas County Circuit Court, Oregon",19
Clarion County Court of Common Pleas,25
Clarion County Court of Oyer and Terminer,1
Clarion County Court of Quarter Sessions,9
Clarion County Orphans' Court,1
Clark Circuit Court,23
Clark County Court of Common Pleas,75
"Clark County Court, Ohio",1
Clark County Municipal Court,1
Clark County Probate Court,51
"Clark County Superior Court, Ga.",1
Clarke County Circuit Court,35
Clarke County Court of Common Pleas,4
Clarke County Probate Court,1
"Clarke County Superior Court, Ga.",2
Clarkstown Justice Court,10
"Clatsop County Circuit Court, Oregon",3
Clay County Circuit Court,3
Clearfield County Court of Common Pleas,194
Clearfield County Court of Quarter Sessions,16
Clearfield County Orphans' Court,7
Clermont Circuit Court,17
Clermont County Court of Common Pleas,151
Clermont County Municipal Court,17
Clermont County Probate Court,1
Cleveland Police Court,3
Clifton Park Justice Court,2
Clinton Circuit Court,15
Clinton County Court,4
Clinton County Court of Common Pleas,136
Clinton County Court of Quarter Sessions,17
Clinton County Orphans' Court,8
Clinton County Probate Court,3
Clinton Family Court,2
"Cobb County Superior Court, Ga.",11
Cohoes City Court,12
Cohoes Police Court,1
Collier County Circuit Court,6
Colonial Heights County Circuit Court,3
Colonie Justice Court,9
Colorado Attorney General Reports,688
Colorado Court of Appeals,20592
Columbia County Circuit Court,5
Columbia County Court,6
Columbia County Court of Common Pleas,180
Columbia County Court of Oyer and Terminer,3
Columbia County Court of Quarter Sessions,40
Columbia County Orphans' Court,11
"Columbia County Superior Court, Ga.",8
Columbiana Circuit Court,31
Columbiana County Court of Common Pleas,54
"Columbiana County Courts, Ohio",5
Columbiana County Juvenile Court,2
Columbiana County Probate Court,28
Columbus Police Court,2
Colville Confederated Court of Appeals,50
Commerce Court,41
"Commissioner of Education, N.J.",1
Commission of Appeals,94
Commonwealth Court of Pennsylvania,40508
Confederated Salish & Kootenai Court of Appeals,35
Connecticut Appellate Court,20268
Connecticut Superior Court,49993
Constitutional Court of New York,1
"Coos County Circuit Court, Oregon",7
Coquille Indian Tribal Court,3
Cornwall Justice Court,1
Cortland City Court,2
Cortland County Court,1
Cortlandt Town Court,1
Coshocton Circuit Court,9
Coshocton County Court of Common Pleas,4
"Coshocton County Court, Ohio",1
Council of Elders of the Mohegan Tribe,1
"County Court of New York, Putnam County",19
Court for the Trial of Impeachments and Correction of Errors,3650
Court of Appeals for the Armed Forces,4689
Court of Appeals of Alaska,2874
Court of Appeals of Arizona,24427
Court of Appeals of Arkansas,11972
Court of Appeals of Georgia,117583
Court Of Appeals Of Indian Territory,575
Court of Appeals of Iowa,21173
Court of Appeals of Kansas,16516
Court of Appeals of Kentucky,55215
Court of Appeals of Kentucky (pre-1976),21494
Court of Appeals of Maryland,37311
Court of Appeals of Minnesota,15984
Court of Appeals of Mississippi,12665
Court of Appeals of Nevada,107
Court of Appeals of North Carolina,44388
"Court of Appeals of Ohio, Eighth District, Cuyahoga County",143
"Court of Appeals of Ohio, Eleventh District, Ashtabula County",4
"Court of Appeals of Ohio, Eleventh District, Geauga County",2
"Court of Appeals of Ohio, Eleventh District, Lake County",3
"Court of Appeals of Ohio, Eleventh District, Portage County",3
"Court of Appeals of Ohio, Eleventh District, Trumbull County",10
"Court of Appeals of Ohio, Fifth District, Ashland County",1
"Court of Appeals of Ohio, Fifth District, Delaware County",3
"Court of Appeals of Ohio, Fifth District, Fairfield County",2
"Court of Appeals of Ohio, Fifth District, Guernsey County",4
"Court of Appeals of Ohio, Fifth District, Knox County",1
"Court of Appeals of Ohio, Fifth District, Licking County",14
"Court of Appeals of Ohio, Fifth District, Morrow County",2
"Court of Appeals of Ohio, Fifth District, Muskingum County",2
"Court of Appeals of Ohio, Fifth District, Richland County",1
"Court of Appeals of Ohio, Fifth District, Stark County",7
"Court of Appeals of Ohio, Fifth District, Tuscarawas County",3
"Court of Appeals of Ohio, First District, Hamilton County",32
"Court of Appeals of Ohio, Fourth District, Adams County",7
"Court of Appeals of Ohio, Fourth District, Athens County",5
"Court of Appeals of Ohio, Fourth District, Gallia County",4
"Court of Appeals of Ohio, Fourth District, Highland County",2
"Court of Appeals of Ohio, Fourth District, Hocking County",4
"Court of Appeals of Ohio, Fourth District, Jackson County",1
"Court of Appeals of Ohio, Fourth District, Lawrence County",4
"Court of Appeals of Ohio, Fourth District, Meigs County",3
"Court of Appeals of Ohio, Fourth District, Pickaway County",5
"Court of Appeals of Ohio, Fourth District, Pike County",1
"Court of Appeals of Ohio, Fourth District, Ross County",3
"Court of Appeals of Ohio, Fourth District, Scioto County",5
"Court of Appeals of Ohio, Fourth District, Vinton County",1
"Court of Appeals of Ohio, Fourth District, Washington County",3
"Court of Appeals of Ohio, Ninth District, Medina County",2
"Court of Appeals of Ohio, Ninth District, Summit County",4
"Court of Appeals of Ohio, Ninth District, Wayne County",2
"Court of Appeals of Ohio, Second District, Champaign County",1
"Court of Appeals of Ohio, Second District, Clark County",1
"Court of Appeals of Ohio, Second District, Greene County",1
"Court of Appeals of Ohio, Second District, Miami County",3
"Court of Appeals of Ohio, Second District, Montgomery County",9
"Court of Appeals of Ohio, Seventh District, Belmont County",8
"Court of Appeals of Ohio, Seventh District, Carroll County",2
"Court of Appeals of Ohio, Seventh District, Columbiana County",4
"Court of Appeals of Ohio, Seventh District, Harrison County",3
"Court of Appeals of Ohio, Seventh District, Jefferson County",4
"Court of Appeals of Ohio, Seventh District, Mahoning County",20
"Court of Appeals of Ohio, Seventh District, Monroe County",6
"Court of Appeals of Ohio, Seventh District, Noble County",2
"Court of Appeals of Ohio, Sixth District, Erie County",3
"Court of Appeals of Ohio, Sixth District, Huron County",3
"Court of Appeals of Ohio, Sixth District, Lucas County",11
"Court of Appeals of Ohio, Sixth District, Ottawa County",2
"Court of Appeals of Ohio, Sixth District, Sandusky County",3
"Court of Appeals of Ohio, Sixth District, Williams County",1
"Court of Appeals of Ohio, Sixth District, Wood County",4
"Court of Appeals of Ohio, Tenth District, Franklin County",18
"Court of Appeals of Ohio, Third District, Marion County",1
"Court of Appeals of Ohio, Third District, Van Wert County",1
"Court of Appeals of Ohio, Twelfth District, Butler County",5
"Court of Appeals of Ohio, Twelfth District, Clinton County",2
"Court of Appeals of Ohio, Twelfth District, Fayette County",1
"Court of Appeals of Ohio, Twelfth District, Warren County",1
Court of Appeals of Oregon,43458
Court of Appeals of South Carolina,22606
Court of Appeals of Tennessee,25452
Court of Appeals of Texas,507084
Court of Appeals of Utah,7633
Court of Appeals of Virginia,21340
Court of Appeals of Washington,85532
Court of Appeals of Wisconsin,18481
Court Of Arbitration Of The Chamber Of Commerce Of New York,1
Court of Chancery of Delaware,6424
Court of Chancery of South Carolina,1017
Court of Civil Appeals of Alabama,21856
Court of Civil Appeals of Oklahoma,6823
Court of Claims,20146
Court of Claims of Illinois,9848
Court of Common Pleas of Ohio,22
"Court of Common Pleas of Ohio, Franklin County, Civil Division",885
"Court of Common Pleas of Ohio, Hamilton County",1420
Court of Criminal Appeals of Alabama,25399
Court of Criminal Appeals of Oklahoma,21579
Court of Criminal Appeals of Tennessee,25539
Court of Criminal Appeals of Texas,72858
Court of General Sessions of Delaware,3
Court of International Trade,24058
Court of King's Bench,241
Court Of Oyer And Terminer New York,185
"Court of Sessions, New York County",1
Court of Special Appeals of Maryland,11074
Court on the Judiciary of Delaware,8
Court on the Judiciary of Oklahoma,10
"Coweta County Superior Court, Ga.",5
Craig County Circuit Court,7
Crawford Circuit Court,22
Crawford County Court of Common Pleas,157
Crawford County Court of Quarter Sessions,14
Crawford County Municipal Court,3
Crawford County Orphans' Court,14
Criminal Court of the City of New York,1749
Ct. of Common Pleas of NJ,19
Culpeper County Circuit Court,16
Cumberland County Court of Common Pleas,641
Cumberland County Court of Oyer and Terminer,1
Cumberland County Court of Quarter Sessions,33
Cumberland County Family Court,8
Cumberland County Orphans' Court,22
Cumberland County Superior Court,4
Customs and Patent Appeals,10981
Cuyahoga Circuit Court,1308
Cuyahoga County Common Pleas Court,808
Cuyahoga County Court of Insolvency,1
Cuyahoga County Juvenile Court,14
Cuyahoga County Municipal Court,6
Cuyahoga County Probate Court,125
Cuyahoga Falls Municipal Court,2
Dade County Court of Record,24
Dade County Judge's Court,27
Dade County Property Appraisal Adjustment Board,6
Dade County Small Claims Court,41
D. Alabama,6
D. Alaska,98987
Danville County Circuit Court,19
D. Arizona,1590849
Darke Circuit Court,18
Darke County Court of Common Pleas,29
Darke County Municipal Court,2
Darke County Probate Court,1
Dauphin County Court of Common Pleas,1559
Dauphin County Court of Oyer and Terminer,7
Dauphin County Court of Quarter Sessions,151
Dauphin County Orphans' Court,83
D. California,245
D.C. Circuit,55497
D. Colorado,712308
D. Connecticut,459390
D. Delaware,278712
"Decatur County Superior Court, Ga.",1
Decisions of the Federal Communications Commission,1
Defiance Circuit Court,20
Defiance County Court of Common Pleas,12
"DeKalb County Superior Court, Ga.",5
Delaware Circuit Court,17
Delaware County Court,4
Delaware County Court of Common Pleas,1169
Delaware County Court of Oyer and Terminer,3
Delaware County Court of Quarter Sessions,217
Delaware County Juvenile Court,1
Delaware County Orphans' Court,115
Delaware Court of Common Pleas,592
Delaware Court of Oyer and Terminer,111
Delaware Family Court,205
Delaware Orphan's Court,146
Denver Superior Court,8
Department of Interior,6
Depew Justice Court,1
"Deschutes County Circuit Court, Oregon",6
De Soto County Circuit Court,1
Detroit Recorder's Court,2
DeWitt Justice Court,4
D. Florida,6
D. Georgia,183
D. Guam,21264
D. Hawaii,252050
Dickenson County Circuit Court,8
Dickinson Justice Court,1
D. Idaho,221573
D. Illinois,4
D. Indiana,144
Dinwiddie County Circuit Court,3
D. Iowa,9
"District Court, Canal Zone",105
District Court of Appeal of Florida,348583
District of Columbia,293813
District of Columbia Court of Appeals,22096
District of Columbia Criminal Court,9
District of Columbia Orphans' Court,9
Dix Town Court,3
D. Kansas,423042
D. Kentucky,74
D. Louisiana,27
D. Maine,165855
D. Maryland,1230126
D. Massachusetts,718434
D. Michigan,52
D. Minnesota,704270
D. Mississippi,6
D. Missouri,25
D. Montana,163270
D. Nebraska,279662
D. Nevada,578786
D. New Hampshire,182687
D. New Jersey,1595364
D. New Mexico,645521
D. New York,99
D. North Carolina,29
D. North Dakota,100905
Dobbs Ferry Justice Court,4
D. Ohio,25
D. Oregon,691313
"Douglas County Circuit Court, Oregon",3
Douglas County District Court,1
D. Pennsylvania,126
D. Puerto Rico,526993
D. Rhode Island,177975
D. South Carolina,591739
D. South Dakota,131046
D. Tennessee,31
D. Texas,6
Dunkirk City Court,3
D. Utah,344961
Dutchess County Court,5
Dutchess Family Court,3
Duval County Circuit Court,200
Duval County Court,7
Duval County Court of Record,12
Duval County Judge's Court,1
D. Vermont,78736
D. Virginia,11
D. Virgin Islands,1625
D. Washington,171
D. West Virginia,24
D. Wisconsin,63
D. Wyoming,115210
"Early County Superior Court, Ga.",1
Eastchester Justice Court,1
Eastern Band of Cherokee Indians Supreme Court,12
Eastern Band of Cherokee Indians Tribal Court,1
East Liverpool Municipal Court,4
East Rochester Justice Court,1
E.D. Arkansas,443226
E.D. California,1009441
E.D. Illinois,913
E.D. Kentucky,432218
E.D. Louisiana,491336
E.D. Michigan,1380390
E.D. Missouri,649902
E.D. New York,983070
E.D. North Carolina,505124
E.D. Oklahoma,127223
E.D. Pennsylvania,1138024
E.D. South Carolina,751
E.D. Tennessee,603812
E.D. Texas,416008
E.D. Virginia,1230561
E.D. Washington,301064
E.D. Wisconsin,554999
Eighth Circuit,103395
"Elbert County Superior Court, Ga.",2
Eleventh Circuit,93096
Elk County Court of Common Pleas,60
Elk County Court of Quarter Sessions,15
Elk County Orphans' Court,7
Elma Justice Court,2
Elmira City Court,2
Elmsford Justice Court,1
Elyria Municipal Court,7
Emergency Court of Appeals,346
Erie Circuit Court,36
Erie County Court,33
Erie County Court Common Pleas,504
Erie County Court of Common Pleas,10
Erie County Court of Oyer and Terminer,6
Erie County Court of Quarter Sessions,40
Erie County Orphans' Court,93
Erie County Probate Court,1
Erie Family Court,13
Erie Surrogate's Court,8
Escambia County Circuit Court,23
Escambia County Court of Record,2
Essex County Circuit Court,12
Essex County Court,95
Essex County Court of Quarter Sessions of New Jersey,10
Essex County Family Court,10
Essex County Superior Court,2
Essex County Surrogate's Court,43
Essex Family Court,1
Euclid City Municipal Court,1
Euclid Municipal Court,3
Fairfax County Circuit Court,1982
